step,time_s,case_name,alt_ft,vc_kts,theta_deg,phi_deg,hdot_fps,q_dps,elev_raw,elev_comp,elev_plant,throttle,speedbrake,case_gamma_estimate,physical_gamma,comp_factor,mrac_elev,observer_bias_q,observer_bias_theta,detector_severity,detector_confidence,mmae_gamma_hat,mmae_best_gamma,phi_twin_gamma_hat,phi_twin_conf,residual_enabled,rl_residual,interlock_tripped
22,0.175,BASELINE,15095.03275476396,488.78590879982096,0.3147099372901543,1.9348559671695182,9.782503111030676,-0.6698938093960071,-0.012014072672545745,-0.012014072672545745,-0.012014072672545745,0.15,0.04583333333333333,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
23,0.183333,BASELINE,15095.11458415538,488.8160020635142,0.3092872845576997,1.8743985011415691,9.767764773611823,-0.6689150603189669,-0.012025680909034834,-0.012025680909034834,-0.012025680909034834,0.15,0.04791666666666666,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
24,0.191667,BASELINE,15095.19570106268,488.8498969937113,0.3037723540882979,1.8534802818502008,9.720204687376897,-0.6660735805377207,-0.012902209757676914,-0.012902209757676914,-0.012902209757676914,0.15,0.049999999999999996,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
25,0.2,BASELINE,15095.276389956474,488.8875223604672,0.2981700531549673,1.8736095804658994,9.640181524536196,-0.6571713938113257,-0.013648787222743168,-0.013648787222743168,-0.013648787222743168,0.15,0.05208333333333333,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
26,0.208333,BASELINE,15095.35627797991,488.9174851100765,0.29255906083612565,1.935366370050588,9.621674763092287,-0.645273679730567,-0.014415131141008416,-0.014415131141008416,-0.014415131141008416,0.15,0.05416666666666666,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
27,0.216667,BASELINE,15095.43659440428,488.9435403287015,0.2871504170618518,1.9545817565916164,9.634459792827322,-0.630361415469142,-0.014279514697668874,-0.014279514697668874,-0.014279514697668874,0.15,0.056249999999999994,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
28,0.225,BASELINE,15095.51704281196,488.9657635151758,0.2819833412258543,1.93327044394642,9.678453640508712,-0.6161238353113234,-0.014220066157049596,-0.014220066157049596,-0.014220066157049596,0.15,0.05833333333333333,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
29,0.233333,BASELINE,15095.597987588495,488.9955461058221,0.2770114544470847,1.8705594995545847,9.659735701171464,-0.5992546914486442,-0.01409216172644611,-0.01409216172644611,-0.01409216172644611,0.15,0.06041666666666666,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
30,0.241667,BASELINE,15095.678188964725,489.0291418432589,0.27207273167962787,1.8506997876420992,9.608339365511608,-0.5815604242710144,-0.0148236069954938,-0.0148236069954938,-0.0148236069954938,0.15,0.06249999999999999,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
31,0.25,BASELINE,15095.757930159569,489.06648072747254,0.2671699684484148,1.8718659023606523,9.524752439724463,-0.5588432816818327,-0.015428828281563,-0.015428828281563,-0.015428828281563,0.15,0.06458333333333333,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
32,0.258333,BASELINE,15095.836842369288,489.0961774373526,0.2623745720385993,1.9347365764872737,9.50293165359026,-0.5341522960584115,-0.016047219080416463,-0.016047219080416463,-0.016047219080416463,0.15,0.06666666666666667,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
33,0.266667,BASELINE,15095.91615633294,489.1219858475408,0.2578881488624434,1.955005732043699,9.512639231263142,-0.5075318425837139,-0.015761910222520183,-0.015761910222520183,-0.015761910222520183,0.15,0.06875,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
34,0.275,BASELINE,15095.9955775626,489.14398174190706,0.25374152797839505,1.9347152535640812,9.553830088559145,-0.4826841314508177,-0.015553044096353216,-0.015553044096353216,-0.015553044096353216,0.15,0.07083333333333335,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
35,0.283333,BASELINE,15096.07547308132,489.17354907048406,0.24987880623148737,1.872961929594799,9.532645668569128,-0.45631343957130543,-0.015275510795780338,-0.015275510795780338,-0.015275510795780338,0.15,0.07291666666666669,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
36,0.291667,BASELINE,15096.15460626036,489.2069442296436,0.24612853689464897,1.8540786373776288,9.479092771598815,-0.4302126306479975,-0.015858213182513604,-0.015858213182513604,-0.015858213182513604,0.15,0.07500000000000002,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
37,0.3,BASELINE,15096.233262497932,489.2440974001266,0.24248451258561252,1.8762571183074281,9.39367680179884,-0.4001802948855336,-0.01631691049568563,-0.01631691049568563,-0.01631691049568563,0.15,0.07708333333333336,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
38,0.308333,BASELINE,15096.311075918376,489.2736310429944,0.2390086982420287,1.9401577691906262,9.37027189011037,-0.3692467372571663,-0.01679097305551938,-0.01679097305551938,-0.01679097305551938,0.15,0.0791666666666667,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
39,0.316667,BASELINE,15096.389278631657,489.2992966009743,0.23589416617948827,1.961393746331889,9.37866765865514,-0.3374542658878256,-0.016365334018688175,-0.016365334018688175,-0.016365334018688175,0.15,0.08125000000000004,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
40,0.325,BASELINE,15096.467578917742,489.32116960583795,0.23316321776733454,1.9420209369615096,9.418829981036044,-0.30848057247181204,-0.0160192288007363,-0.0160192288007363,-0.0160192288007363,0.15,0.08333333333333338,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
41,0.333333,BASELINE,15096.546346135437,489.3506259907837,0.2307509743280839,1.8811231447025014,9.39690125051032,-0.2790122825210888,-0.015608212105971285,-0.015608212105971285,-0.015608212105971285,0.15,0.08541666666666672,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
42,0.341667,BASELINE,15096.624345995486,489.3839244736189,0.22848114561608057,1.8609750715640272,9.342995182746945,-0.25080273536956876,-0.01606212676540919,-0.01606212676540919,-0.01606212676540919,0.15,0.08750000000000006,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
43,0.35,BASELINE,15096.701867964119,489.42099469513107,0.22633487269308533,1.8819705736341141,9.257527138039615,-0.21964207093808444,-0.016393511167887072,-0.016393511167887072,-0.016393511167887072,0.15,0.0895833333333334,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
44,0.358333,BASELINE,15096.778547637165,489.4504669046836,0.22436538485038446,1.9447150845304673,9.234274193416827,-0.18853249162356994,-0.01674902861373509,-0.01674902861373509,-0.01674902861373509,0.15,0.09166666666666674,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
45,0.366667,BASELINE,15096.855618383735,489.47608912754254,0.22275873981336625,1.964786563579567,9.243084153033115,-0.1574396053376887,-0.016211969127639628,-0.016211969127639628,-0.016211969127639628,0.15,0.09375000000000008,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
46,0.375,BASELINE,15096.932791434228,489.497936367247,0.2215293814816525,1.9442197275449606,9.283889371669032,-0.1299961433649957,-0.015759504467295432,-0.015759504467295432,-0.015759504467295432,0.15,0.09583333333333342,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
47,0.383333,BASELINE,15097.010437615216,489.52737620095576,0.22060569820288506,1.882123446866557,9.26296902134847,-0.10285797811392618,-0.015248953712380737,-0.015248953712380737,-0.015248953712380737,0.15,0.09791666666666676,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
48,0.391667,BASELINE,15097.087326850742,489.56066904094496,0.2198003179083064,1.8629684482005764,9.21025105527233,-0.07775286246062015,-0.015608328410498784,-0.015608328410498784,-0.015608328410498784,0.15,0.1000000000000001,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
49,0.4,BASELINE,15097.163748197258,489.59774405609227,0.2190922323616291,1.8849353121621022,9.126216936791849,-0.050403406774978766,-0.015856390624501688,-0.015856390624501688,-0.015856390624501688,0.15,0.10208333333333344,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
50,0.408333,BASELINE,15097.239340450615,489.62723825946324,0.21852971598958046,1.948692315435987,9.104581798324016,-0.02374562609189875,-0.01613227601847175,-0.01613227601847175,-0.01613227601847175,0.15,0.10416666666666678,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
51,0.416667,BASELINE,15097.315337803215,489.6528966855143,0.21829321454344724,1.9697274705542842,9.115178652400662,0.002275970895636875,-0.01552230368268984,-0.01552230368268984,-0.01552230368268984,0.15,0.10625000000000012,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
52,0.425,BASELINE,15097.391453009099,489.6747935554749,0.21839249480804476,1.9500945770578608,9.157947158794762,0.024076997651599895,-0.015004010257943508,-0.015004010257943508,-0.015004010257943508,0.15,0.10833333333333346,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
53,0.433333,BASELINE,15097.468058466911,489.7042876082726,0.2187508717461922,1.8888843071437615,9.13917788709509,0.045058704554296294,-0.014434190279239765,-0.014434190279239765,-0.014434190279239765,0.15,0.1104166666666668,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
54,0.441667,BASELINE,15097.543925724924,489.7376412306416,0.2191788465869616,1.8693282968522027,9.08883920510203,0.06355535259589526,-0.014741286609211906,-0.014741286609211906,-0.014741286609211906,0.15,0.11250000000000014,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
55,0.45,BASELINE,15097.61934601143,489.7747825662255,0.21964903046389478,1.890947548983403,9.007353549230174,0.08388288622126314,-0.014942032668140688,-0.014942032668140688,-0.014942032668140688,0.15,0.11458333333333348,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
56,0.458333,BASELINE,15097.693958934397,489.80435603429936,0.22020576479328552,1.9543676595183783,8.988332256095298,0.10314510224162166,-0.015179379685184137,-0.015179379685184137,-0.015179379685184137,0.15,0.11666666666666682,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
57,0.466667,BASELINE,15097.768998656422,489.8301028852509,0.22102711363090585,1.975047547081597,9.001645992382262,0.121469416827916,-0.014538853112801637,-0.014538853112801637,-0.014538853112801637,0.15,0.11875000000000016,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
58,0.475,BASELINE,15097.84417944029,489.8520965745002,0.2221201320029813,1.9550335610479588,9.047209855398448,0.13532458483854587,-0.013995855062047875,-0.013995855062047875,-0.013995855062047875,0.15,0.1208333333333335,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
59,0.483333,BASELINE,15097.91987400502,489.88168705318816,0.22340607164152657,1.8934278894351888,9.031417595415498,0.14816090509070987,-0.013408008064601996,-0.013408008064601996,-0.013408008064601996,0.15,0.12291666666666684,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
60,0.491667,BASELINE,15097.994856294245,489.91513850270377,0.2246908023405834,1.874798621432072,8.98410101092231,0.15835045088762192,-0.013702239060825488,-0.013702239060825488,-0.013702239060825488,0.15,0.12500000000000017,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
61,0.5,BASELINE,15098.069416508079,489.95237831578964,0.22594819477069833,1.8973298951426947,8.90571835427447,0.17026921669961084,-0.013899220284334858,-0.013899220284334858,-0.013899220284334858,0.15,0.1270833333333335,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
62,0.508333,BASELINE,15098.143195685,489.98205792589727,0.22722229289424695,1.9616807778020304,8.889802395524086,0.18107118024409352,-0.014136678081752979,-0.014136678081752979,-0.014136678081752979,0.15,0.12916666666666682,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
63,0.516667,BASELINE,15098.217427276075,490.0079152786901,0.22869092790267925,1.9832477883852881,8.90622533020731,0.1909108332589689,-0.013502030668135727,-0.013502030668135727,-0.013502030668135727,0.15,0.13125000000000014,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
64,0.525,BASELINE,15098.291825857013,490.03002314110176,0.2303613278059096,1.9640908283118812,8.954903842646402,0.19629777962277808,-0.01296993320050757,-0.01296993320050757,-0.01296993320050757,0.15,0.13333333333333347,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
65,0.533333,BASELINE,15098.366764195263,490.05972256147766,0.23215458972335845,1.9033007520077188,8.942191789123687,0.2007320947509725,-0.012397670501005903,-0.012397670501005903,-0.012397670501005903,0.15,0.1354166666666668,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
66,0.541667,BASELINE,15098.441015657037,490.0932800707145,0.23388313156329027,1.8822450654924991,8.898096831703024,0.20263667158541537,-0.01271266613802945,-0.01271266613802945,-0.01271266613802945,0.15,0.13750000000000012,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
67,0.55,BASELINE,15098.51487308368,490.1306219915558,0.23551509262564055,1.9024542295633968,8.822934457859853,0.20639098008487225,-0.012929026537213024,-0.012929026537213024,-0.012929026537213024,0.15,0.13958333333333345,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
68,0.558333,BASELINE,15098.587975803763,490.1604078819629,0.23709466323099287,1.9645045701147048,8.810127157893021,0.2091566138585146,-0.013195060754689025,-0.013195060754689025,-0.013195060754689025,0.15,0.14166666666666677,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
69,0.566667,BASELINE,15098.661556001753,490.186371647289,0.23880172614493336,1.983803325551645,8.829620969305925,0.2111844157982851,-0.012594476625060002,-0.012594476625060002,-0.012594476625060002,0.15,0.1437500000000001,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
70,0.575,BASELINE,15098.735328871757,490.20858565992313,0.2406443834440486,1.962374812564693,8.881281965042998,0.20901676709671577,-0.01209882733692319,-0.01209882733692319,-0.01209882733692319,0.15,0.14583333333333343,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
71,0.583333,BASELINE,15098.809665825218,490.23838245158936,0.24254626972965587,1.8993507501921019,8.871642898862572,0.206174445125895,-0.011567074425008381,-0.011567074425008381,-0.011567074425008381,0.15,0.14791666666666675,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
72,0.591667,BASELINE,15098.8833424896,490.27203055662744,0.24431590621857877,1.8793811046892752,8.830453695218267,0.20107309122038192,-0.011923325071997008,-0.011923325071997008,-0.011923325071997008,0.15,0.15000000000000008,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
73,0.6,BASELINE,15098.956647753716,490.3094561089823,0.2459303555349086,1.90063265398851,8.758142283028203,0.19814689199495727,-0.012189759137275956,-0.012189759137275956,-0.012189759137275956,0.15,0.1520833333333334,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
74,0.608333,BASELINE,15099.029222231358,490.33932579198256,0.2474378696447578,1.9637761256068076,8.748086992277017,0.19459490643248573,-0.012503041697735784,-0.012503041697735784,-0.012503041697735784,0.15,0.15416666666666673,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
75,0.616667,BASELINE,15099.102296549827,490.36537091498656,0.24902027111434605,1.9841291949725843,8.770202708069263,0.19064331865524944,-0.011950796593851863,-0.011950796593851863,-0.011950796593851863,0.15,0.15625000000000006,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
76,0.625,BASELINE,15099.175584744662,490.3876635697586,0.25068911792797316,1.9637433664190125,8.824379603956181,0.18284422725692479,-0.0115056926812014,-0.0115056926812014,-0.0115056926812014,0.15,0.15833333333333338,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
77,0.633333,BASELINE,15099.249457620084,490.41752772650574,0.25237058081869584,1.9017224191782263,8.817203399388202,0.1747458406957402,-0.011025035961815302,-0.011025035961815302,-0.011025035961815302,0.15,0.1604166666666667,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
78,0.641667,BASELINE,15099.322690702975,490.4512345506478,0.2538762455284292,1.882754955617586,8.778387699130912,0.1647849081502747,-0.011432959935621281,-0.011432959935621281,-0.011432959935621281,0.15,0.16250000000000003,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
79,0.65,BASELINE,15099.395571663976,490.4887098467269,0.25518663188525975,1.905026589991943,8.708372909049622,0.15740351670440228,-0.01175185787877467,-0.01175185787877467,-0.01175185787877467,0.15,0.16458333333333336,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
80,0.658333,BASELINE,15099.467740695924,490.51862829748654,0.2563529666394328,1.9691862691121655,8.700445665613767,0.14979683910378985,-0.012117482399650447,-0.012117482399650447,-0.012117482399650447,0.15,0.16666666666666669,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
81,0.666667,BASELINE,15099.540426284075,490.5447183065409,0.2575606837117017,1.9905077188484077,8.72454688373946,0.14218486632039315,-0.011618514650485436,-0.011618514650485436,-0.011618514650485436,0.15,0.16875,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
82,0.675,BASELINE,15099.613341789693,490.5670518928451,0.25882498960589556,1.9710554588434095,8.780577036333707,0.13112310862999152,-0.011225990883576691,-0.011225990883576691,-0.011225990883576691,0.15,0.17083333333333334,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
83,0.683333,BASELINE,15099.686856914312,490.5969447803134,0.260075125581722,1.9099223206376172,8.77512415135834,0.12016623654476082,-0.01079705652809899,-0.01079705652809899,-0.01079705652809899,0.15,0.17291666666666666,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
